# Figure 2: RI/MSbar matching and RG evolution at NNLO
# Quenched QCD: N_c=3, N_f=0
# Columns: mu_GeV, delta_z_ri_msbar, c_s_msbar, rg_ratio_to_2GeV
mu_GeV,delta_z_ri_msbar,c_s_msbar,rg_ratio_to_2GeV
9.30075188,1.07309442,2.05603589,0.81729704
9.32330827,1.07303932,2.05652171,0.81710397
9.34586466,1.07298443,2.05700612,0.81691155
9.36842105,1.07292976,2.05748912,0.81671977
9.39097744,1.07287530,2.05797074,0.81652864
9.41353383,1.07282106,2.05845097,0.81633815
9.43609023,1.07276702,2.05892983,0.81614829
9.45864662,1.07271320,2.05940731,0.81595906
9.48120301,1.07265958,2.05988343,0.81577046
9.50375940,1.07260616,2.06035820,0.81558248
9.52631579,1.07255295,2.06083162,0.81539512
9.54887218,1.07249995,2.06130370,0.81520838
9.57142857,1.07244715,2.06177445,0.81502225
9.59398496,1.07239455,2.06224387,0.81483673
9.61654135,1.07234214,2.06271197,0.81465182
9.63909774,1.07228994,2.06317876,0.81446750
9.66165414,1.07223793,2.06364424,0.81428379
9.68421053,1.07218612,2.06410842,0.81410067
9.70676692,1.07213451,2.06457132,0.81391814
9.72932331,1.07208308,2.06503292,0.81373620
9.75187970,1.07203185,2.06549325,0.81355485
9.77443609,1.07198081,2.06595231,0.81337408
9.79699248,1.07192996,2.06641010,0.81319388
9.81954887,1.07187930,2.06686664,0.81301426
9.84210526,1.07182883,2.06732192,0.81283521
9.86466165,1.07177854,2.06777595,0.81265673
9.88721805,1.07172844,2.06822875,0.81247882
9.90977444,1.07167852,2.06868032,0.81230147
9.93233083,1.07162878,2.06913065,0.81212467
9.95488722,1.07157923,2.06957977,0.81194843
9.97744361,1.07152985,2.07002767,0.81177275
10.00000000,1.07148066,2.07047437,0.81159761
