k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14
20.64902010,0.14844340,0.15407597,0.69948608,0.70686338,0.71704930,0.73160884,0.74944333,0.78685745,0.88167513,0.88257123,0.93245405,0.93324521,0.94252707,0.94727097
20.92109001,0.17272547,0.17929558,0.69133874,0.70025928,0.71599505,0.72669738,0.74825203,0.78071055,0.88222835,0.88327733,0.93163818,0.93199583,0.94465447,0.94790898
21.19315991,0.19678499,0.20429155,0.68167427,0.69239015,0.71495243,0.72205975,0.74652832,0.77497765,0.88275632,0.88390910,0.93072059,0.93084761,0.94703203,0.94828632
21.46522982,0.22058046,0.22902186,0.67062694,0.68319833,0.71393537,0.71778248,0.74419289,0.77004846,0.88323034,0.88443144,0.92948106,0.93012571,0.94850525,0.94961374
21.73729972,0.24406417,0.25343821,0.65838721,0.67266930,0.71296329,0.71388015,0.74129098,0.76611907,0.88362960,0.88482499,0.92832807,0.92950817,0.94863978,0.95235253
22.00936962,0.26717900,0.27748286,0.64515422,0.66085879,0.71034390,0.71205433,0.73802848,0.76313766,0.88394133,0.88508496,0.92730148,0.92901997,0.94873112,0.95519547
22.28143953,0.28985334,0.30108360,0.63111798,0.64789312,0.70716503,0.71122325,0.73468594,0.76089870,0.88416067,0.88521891,0.92642867,0.92867324,0.94880103,0.95808134
22.55350943,0.31199221,0.32414500,0.61646417,0.63395538,0.70434113,0.71048111,0.73150173,0.75918540,0.88429058,0.88524404,0.92572329,0.92846637,0.94886073,0.96093964
22.82557934,0.33346156,0.34653284,0.60139349,0.61927672,0.70187539,0.70983531,0.72862863,0.75784012,0.88434131,0.88518435,0.92518509,0.92838475,0.94891553,0.96369077
23.09764924,0.35405902,0.36804484,0.58615604,0.60414897,0.69977429,0.70929016,0.72614932,0.75676772,0.88432926,0.88506774,0.92480128,0.92840305,0.94896739,0.96624740
23.36971915,0.37345739,0.38835314,0.57111253,0.58897432,0.69804557,0.70884745,0.72410398,0.75591728,0.88427498,0.88492309,0.92454951,0.92848881,0.94901632,0.96851731
23.64178905,0.39109417,0.40688887,0.55684860,0.57437901,0.69669684,0.70850719,0.72251064,0.75526468,0.88420050,0.88477759,0.92440213,0.92860687,0.94906135,0.97040814
23.91385896,0.40596945,0.42262105,0.54437957,0.56143563,0.69573463,0.70826838,0.72137670,0.75480050,0.88412661,0.88465448,0.92433100,0.92872394,0.94910112,0.97183413
24.18592886,0.41639631,0.43375312,0.53540221,0.55196863,0.69516389,0.70812968,0.72070488,0.75452233,0.88407029,0.88457137,0.92431208,0.92881292,0.94913430,0.97272462
24.45799877,0.42020888,0.43788178,0.53208791,0.54839744,0.69498761,0.70809005,0.72049593,0.75443025,0.88404286,0.88453907,0.92432918,0.92885647,0.94915992,0.97303261
24.84276372,0.41968682,0.43687044,0.53388491,0.55075697,0.69414660,0.70734886,0.71973565,0.75365146,0.88396460,0.88510313,0.92417837,0.92872294,0.95010017,0.97215178
25.22752866,0.41824030,0.43421916,0.53913661,0.55747375,0.69153342,0.70516768,0.71748709,0.75140014,0.88330742,0.88709924,0.92344642,0.92858255,0.95290088,0.96967422
25.61229361,0.41640665,0.43089570,0.54717651,0.56756342,0.68718545,0.70171403,0.71384245,0.74796697,0.88224773,0.89028580,0.92161977,0.92883673,0.95711432,0.96624779
25.99705856,0.41480954,0.42791461,0.55719346,0.57991999,0.68125160,0.69722705,0.70884746,0.74379868,0.88094960,0.89438077,0.91886649,0.92917862,0.96146401,0.96255159
26.38182351,0.41399669,0.42607044,0.56837269,0.59354295,0.67402650,0.69196717,0.70252650,0.73940464,0.87954963,0.89903819,0.91565238,0.92896633,0.95860890,0.96387899
