# Zz,delta_electrostatic,delta_em_minus,delta_em_plus
1.50963704e+01,1.12027300e-16,0.00000000e+00,0.00000000e+00
1.53871160e+01,1.78258317e-14,0.00000000e+00,0.00000000e+00
1.56834612e+01,2.11349569e-17,0.00000000e+00,0.00000000e+00
1.59855139e+01,5.68944861e-16,0.00000000e+00,0.00000000e+00
1.62933838e+01,3.07751737e-15,0.00000000e+00,0.00000000e+00
1.66071831e+01,2.27147911e-17,0.00000000e+00,0.00000000e+00
1.69270260e+01,8.78714213e-18,0.00000000e+00,0.00000000e+00
1.72530288e+01,9.53278586e-15,0.00000000e+00,0.00000000e+00
1.75853102e+01,5.78374091e-16,0.00000000e+00,0.00000000e+00
1.79239911e+01,1.86157390e-17,0.00000000e+00,0.00000000e+00
1.82691948e+01,5.77834703e-17,0.00000000e+00,0.00000000e+00
1.86210469e+01,8.19794915e-16,0.00000000e+00,0.00000000e+00
1.89796753e+01,1.53290583e-15,1.61631682e-21,0.00000000e+00
1.93452108e+01,2.78684446e-16,0.00000000e+00,0.00000000e+00
1.97177862e+01,6.12494213e-15,0.00000000e+00,0.00000000e+00
2.00975371e+01,1.04606372e-16,0.00000000e+00,0.00000000e+00
2.04846018e+01,3.11649678e-15,0.00000000e+00,0.00000000e+00
2.08791210e+01,1.38492843e-14,0.00000000e+00,0.00000000e+00
2.12812385e+01,1.16002384e-14,0.00000000e+00,0.00000000e+00
2.16911004e+01,2.62427917e-16,0.00000000e+00,0.00000000e+00
2.21088560e+01,7.02607536e-16,0.00000000e+00,0.00000000e+00
2.25346573e+01,8.10849931e-17,0.00000000e+00,0.00000000e+00
2.29686592e+01,3.62844466e-16,0.00000000e+00,0.00000000e+00
2.34110197e+01,2.43889178e-17,0.00000000e+00,0.00000000e+00
2.38618998e+01,2.98475438e-15,0.00000000e+00,0.00000000e+00
2.43214635e+01,1.56630724e-15,0.00000000e+00,0.00000000e+00
2.47898780e+01,2.77006456e-16,0.00000000e+00,0.00000000e+00
2.52673139e+01,7.30478555e-16,0.00000000e+00,0.00000000e+00
2.57539449e+01,1.42516676e-16,0.00000000e+00,0.00000000e+00
2.62499481e+01,2.27031068e-17,0.00000000e+00,0.00000000e+00
2.67555040e+01,8.59332769e-17,0.00000000e+00,0.00000000e+00
2.72707965e+01,3.06761782e-15,0.00000000e+00,0.00000000e+00
2.77960132e+01,2.38729954e-15,0.00000000e+00,0.00000000e+00
2.83313452e+01,1.30514941e-16,0.00000000e+00,0.00000000e+00
2.88769873e+01,1.79781472e-16,0.00000000e+00,0.00000000e+00
2.94331381e+01,1.84539888e-16,0.00000000e+00,0.00000000e+00
3.00000000e+01,2.59494052e-17,0.00000000e+00,0.00000000e+00
