# Figure 4: Momentum evolution (relaxation equations)
# Columns: time[s], p_parallel[m0c], p_perpendicular[m0c], gamma, energy_MeV
time,p_parallel,p_perpendicular,gamma,energy_MeV
9.03090309e-02,1.55267852e+01,9.92523639e-01,1.55905792e+01,7.45577066e+00
9.06590659e-02,1.55675854e+01,9.92506316e-01,1.56312119e+01,7.47653392e+00
9.10091009e-02,1.56083857e+01,9.92489036e-01,1.56718454e+01,7.49729760e+00
9.13591359e-02,1.56491859e+01,9.92471800e-01,1.57124798e+01,7.51806171e+00
9.17091709e-02,1.56899861e+01,9.92454606e-01,1.57531150e+01,7.53882625e+00
9.20592059e-02,1.57307863e+01,9.92437456e-01,1.57937510e+01,7.55959120e+00
9.24092409e-02,1.57715864e+01,9.92420348e-01,1.58343878e+01,7.58035657e+00
9.27592759e-02,1.58123865e+01,9.92403282e-01,1.58750254e+01,7.60112235e+00
9.31093109e-02,1.58531866e+01,9.92386258e-01,1.59156638e+01,7.62188854e+00
9.34593459e-02,1.58939866e+01,9.92369277e-01,1.59563030e+01,7.64265514e+00
9.38093809e-02,1.59347866e+01,9.92352337e-01,1.59969430e+01,7.66342213e+00
9.41594159e-02,1.59755865e+01,9.92335438e-01,1.60375838e+01,7.68418953e+00
9.45094509e-02,1.60163864e+01,9.92318580e-01,1.60782253e+01,7.70495732e+00
9.48594859e-02,1.60571863e+01,9.92301763e-01,1.61188677e+01,7.72572550e+00
9.52095210e-02,1.60979861e+01,9.92284987e-01,1.61595107e+01,7.74649407e+00
9.55595560e-02,1.61387859e+01,9.92268252e-01,1.62001546e+01,7.76726302e+00
9.59095910e-02,1.61795857e+01,9.92251556e-01,1.62407991e+01,7.78803235e+00
9.62596260e-02,1.62203854e+01,9.92234901e-01,1.62814444e+01,7.80880207e+00
9.66096610e-02,1.62611851e+01,9.92218285e-01,1.63220905e+01,7.82957216e+00
9.69596960e-02,1.63019848e+01,9.92201709e-01,1.63627373e+01,7.85034262e+00
9.73097310e-02,1.63427844e+01,9.92185172e-01,1.64033848e+01,7.87111345e+00
9.76597660e-02,1.63835839e+01,9.92168675e-01,1.64440330e+01,7.89188465e+00
9.80098010e-02,1.64243835e+01,9.92152216e-01,1.64846819e+01,7.91265620e+00
9.83598360e-02,1.64651830e+01,9.92135796e-01,1.65253316e+01,7.93342812e+00
9.87098710e-02,1.65059824e+01,9.92119414e-01,1.65659819e+01,7.95420040e+00
9.90599060e-02,1.65467818e+01,9.92103071e-01,1.66066329e+01,7.97497303e+00
9.94099410e-02,1.65875812e+01,9.92086765e-01,1.66472846e+01,7.99574601e+00
9.97599760e-02,1.66283805e+01,9.92070498e-01,1.66879370e+01,8.01651934e+00
1.00110011e-01,1.66691798e+01,9.92054268e-01,1.67285901e+01,8.03729301e+00
1.00460046e-01,1.67099790e+01,9.92038075e-01,1.67692438e+01,8.05806703e+00
1.00810081e-01,1.67507782e+01,9.92021920e-01,1.68098982e+01,8.07884139e+00
1.01160116e-01,1.67915774e+01,9.92005801e-01,1.68505533e+01,8.09961608e+00
1.01510151e-01,1.68323765e+01,9.91989720e-01,1.68912090e+01,8.12039110e+00
1.01860186e-01,1.68731755e+01,9.91973675e-01,1.69318653e+01,8.14116646e+00
1.02210221e-01,1.69139745e+01,9.91957666e-01,1.69725223e+01,8.16194215e+00
1.02560256e-01,1.69547735e+01,9.91941693e-01,1.70131800e+01,8.18271816e+00
1.02910291e-01,1.69955724e+01,9.91925757e-01,1.70538383e+01,8.20349449e+00
1.03260326e-01,1.70363713e+01,9.91909856e-01,1.70944971e+01,8.22427114e+00
1.03610361e-01,1.70771702e+01,9.91893991e-01,1.71351567e+01,8.24504812e+00
1.03960396e-01,1.71179689e+01,9.91878161e-01,1.71758168e+01,8.26582540e+00
1.04310431e-01,1.71587677e+01,9.91862367e-01,1.72164775e+01,8.28660300e+00
1.04660466e-01,1.71995664e+01,9.91846607e-01,1.72571389e+01,8.30738091e+00
