xi,Z,X,E
0.61069036,0.61069036,0.00000000,0.61069036
0.61698613,0.61698613,0.00000000,0.61698613
0.62328191,0.62328191,0.00000000,0.62328191
0.62957769,0.62957769,0.00000000,0.62957769
0.63587346,0.63587346,0.00000000,0.63587346
0.64216924,0.64216924,0.00000000,0.64216924
0.64846502,0.64846502,0.00000000,0.64846502
0.65476079,0.65476079,0.00000000,0.65476079
0.66105657,0.66105657,0.00000000,0.66105657
0.66735235,0.66735235,0.00000000,0.66735235
0.67364812,0.67364812,0.00000000,0.67364812
0.67994390,0.67994390,0.00000000,0.67994390
0.68623968,0.68623968,0.00000000,0.68623968
0.69253545,0.69253545,0.00000000,0.69253545
0.69883123,0.69883123,0.00000000,0.69883123
0.70512701,0.70512701,0.00000000,0.70512701
0.71142279,0.71142279,0.00000000,0.71142279
0.71771856,0.71771856,0.00000000,0.71771856
0.72401434,0.72401434,0.00000000,0.72401434
0.73031012,0.73031012,0.00000000,0.73031012
0.73660589,0.73660589,0.00000000,0.73660589
0.74290167,0.74290167,0.00000000,0.74290167
0.74919745,0.74919745,0.00000000,0.74919745
0.75549322,0.75549322,0.00000000,0.75549322
0.76178900,0.76178900,0.00000000,0.76178900
0.76808478,0.76808478,0.00000000,0.76808478
0.77438055,0.77438055,0.00000000,0.77438055
0.78067633,0.78067633,0.00000000,0.78067633
0.78697211,0.78697211,0.00000000,0.78697211
0.79326788,0.79326788,0.00000000,0.79326788
0.79956366,0.79956366,0.00000000,0.79956366
0.80585944,0.80585944,0.00000000,0.80585944
0.81215522,0.81215522,0.00000000,0.81215522
0.81845099,0.81845099,0.00000000,0.81845099
0.82474677,0.82474677,0.00000000,0.82474677
0.83104255,0.83104255,0.00000000,0.83104255
0.83733832,0.83733832,0.00000000,0.83733832
0.84363410,0.84363410,0.00000000,0.84363410
0.84992988,0.84992988,0.00000000,0.84992988
0.85622565,0.85622565,0.00000000,0.85622565
0.86252143,0.86252143,0.00000000,0.86252143
0.86881721,0.86881721,0.00000000,0.86881721
0.87511298,0.87511298,0.00000000,0.87511298
0.88140876,0.88140876,0.00000000,0.88140876
0.88770454,0.88770454,0.00000000,0.88770454
0.89400031,0.89400031,0.00000000,0.89400031
0.90029609,0.90029609,0.00000000,0.90029609
0.90659187,0.90659187,0.00000000,0.90659187
0.91288764,0.91288764,0.00000000,0.91288764
0.91918342,0.91918342,0.00000000,0.91918342
0.92547920,0.92547920,0.00000000,0.92547920
0.93177498,0.93177498,0.00000000,0.93177498
0.93807075,0.93807075,0.00000000,0.93807075
0.94436653,0.94436653,0.00000000,0.94436653
0.95066231,0.95066231,0.00000000,0.95066231
0.95695808,0.95695808,0.00000000,0.95695808
0.96325386,0.96325386,0.00000000,0.96325386
0.96954964,0.96954964,0.00000000,0.96954964
0.97584541,0.97584541,0.00000000,0.97584541
0.98214119,0.98214119,0.00000000,0.98214119
0.98843697,0.98843697,0.00000000,0.98843697
0.99473274,0.99473274,0.00000000,0.99473274
1.00102852,1.00102852,0.00000000,1.00102852
1.00732430,1.00732430,0.00000000,1.00732430
1.01362007,1.01362007,0.00000000,1.01362007
1.01991585,1.01991585,0.00000000,1.01991585
1.02621163,1.02621163,0.00000000,1.02621163
1.03250741,1.03250741,0.00000000,1.03250741
1.03880318,1.03880318,0.00000000,1.03880318
1.04509896,1.04509896,0.00000000,1.04509896
1.05139474,1.05139474,0.00000000,1.05139474
1.05769051,1.05769051,0.00000000,1.05769051
1.06398629,1.06398629,0.00000000,1.06398629
1.07028207,1.07028207,0.00000000,1.07028207
1.07657784,1.07657784,0.00000000,1.07657784
1.08287362,1.08287362,0.00000000,1.08287362
1.08916940,1.08916940,0.00000000,1.08916940
1.09546517,1.09546517,0.00000000,1.09546517
1.10176095,1.10176095,0.00000000,1.10176095
1.10805673,1.10805673,0.00000000,1.10805673
1.11435250,1.11435250,0.00000000,1.11435250
1.12064828,1.12064828,0.00000000,1.12064828
1.12694406,1.12694406,0.00000000,1.12694406
1.13323983,1.13323983,0.00000000,1.13323983
1.13953561,1.13953561,0.00000000,1.13953561
1.14583139,1.14583139,0.00000000,1.14583139
1.15212717,1.15212717,0.00000000,1.15212717
1.15842294,1.15842294,0.00000000,1.15842294
1.16471872,1.16471872,0.00000000,1.16471872
1.17101450,1.17101450,0.00000000,1.17101450
1.17731027,1.17731027,0.00000000,1.17731027
1.18360605,1.18360605,0.00000000,1.18360605
1.18990183,1.18990183,0.00000000,1.18990183
1.19619760,1.19619760,0.00000000,1.19619760
1.20249338,1.20249338,0.00000000,1.20249338
1.20878916,1.20878916,0.00000000,1.20878916
1.21508493,1.21508493,0.00000000,1.21508493
1.22138071,1.22138071,0.00000000,1.22138071
1.22767649,1.22767649,0.00000000,1.22767649
1.23397226,1.23397226,0.00000000,1.23397226
1.24026804,1.24026804,0.00000000,1.24026804
1.24656382,1.24656382,0.00000000,1.24656382
1.25285960,1.25285960,0.00000000,1.25285960
1.25915537,1.25915537,0.00000000,1.25915537
1.26545115,1.26545115,0.00000000,1.26545115
1.27174693,1.27174693,0.00000000,1.27174693
1.27804270,1.27804270,0.00000000,1.27804270
1.28433848,1.28433848,0.00000000,1.28433848
1.29063426,1.29063426,0.00000000,1.29063426
1.29693003,1.29693003,0.00000000,1.29693003
1.30322581,1.30322581,0.00000000,1.30322581
1.30952159,1.30952159,0.00000000,1.30952159
1.31581736,1.31581736,0.00000000,1.31581736
1.32211314,1.32211314,0.00000000,1.32211314
1.32840892,1.32840892,0.00000000,1.32840892
