xi,E_naive,E_wilson_r1,E_slac,E_mod_slac_0.5
2.33573322,0.72142606,1.83983231,2.33573322,0.80585944
2.34202899,0.71705202,1.84229186,2.34202899,0.79956366
2.34832477,0.71264956,1.84473316,2.34832477,0.79326788
2.35462055,0.70821885,1.84715617,2.35462055,0.78697211
2.36091632,0.70376007,1.84956088,2.36091632,0.78067633
2.36721210,0.69927340,1.85194726,2.36721210,0.77438055
2.37350788,0.69475900,1.85431529,2.37350788,0.76808478
2.37980365,0.69021707,1.85666495,2.37980365,0.76178900
2.38609943,0.68564779,1.85899621,2.38609943,0.75549322
2.39239521,0.68105132,1.86130905,2.39239521,0.74919745
2.39869098,0.67642786,1.86360344,2.39869098,0.74290167
2.40498676,0.67177759,1.86587937,2.40498676,0.73660589
2.41128254,0.66710069,1.86813680,2.41128254,0.73031012
2.41757831,0.66239735,1.87037573,2.41757831,0.72401434
2.42387409,0.65766776,1.87259612,2.42387409,0.71771856
2.43016987,0.65291210,1.87479796,2.43016987,0.71142279
2.43646565,0.64813056,1.87698121,2.43646565,0.70512701
2.44276142,0.64332332,1.87914587,2.44276142,0.69883123
2.44905720,0.63849059,1.88129191,2.44905720,0.69253545
2.45535298,0.63363256,1.88341931,2.45535298,0.68623968
2.46164875,0.62874940,1.88552804,2.46164875,0.67994390
2.46794453,0.62384133,1.88761809,2.46794453,0.67364812
2.47424031,0.61890853,1.88968943,2.47424031,0.66735235
2.48053608,0.61395119,1.89174205,2.48053608,0.66105657
2.48683186,0.60896952,1.89377592,2.48683186,0.65476079
2.49312764,0.60396372,1.89579103,2.49312764,0.64846502
2.49942341,0.59893397,1.89778735,2.49942341,0.64216924
2.50571919,0.59388049,1.89976486,2.50571919,0.63587346
2.51201497,0.58880346,1.90172356,2.51201497,0.62957769
2.51831074,0.58370310,1.90366340,2.51831074,0.62328191
2.52460652,0.57857960,1.90558438,2.52460652,0.61698613
2.53090230,0.57343317,1.90748648,2.53090230,0.61069036
2.53719807,0.56826401,1.90936968,2.53719807,0.60439458
2.54349385,0.56307233,1.91123396,2.54349385,0.59809880
2.54978963,0.55785832,1.91307930,2.54978963,0.59180302
2.55608541,0.55262221,1.91490568,2.55608541,0.58550725
2.56238118,0.54736419,1.91671308,2.56238118,0.57921147
2.56867696,0.54208448,1.91850150,2.56867696,0.57291569
2.57497274,0.53678328,1.92027090,2.57497274,0.56661992
2.58126851,0.53146080,1.92202127,2.58126851,0.56032414
2.58756429,0.52611726,1.92375260,2.58756429,0.55402836
2.59386007,0.52075286,1.92546487,2.59386007,0.54773259
2.60015584,0.51536782,1.92715805,2.60015584,0.54143681
2.60645162,0.50996236,1.92883214,2.60645162,0.53514103
2.61274740,0.50453668,1.93048712,2.61274740,0.52884526
2.61904317,0.49909101,1.93212296,2.61904317,0.52254948
2.62533895,0.49362555,1.93373967,2.62533895,0.51625370
2.63163473,0.48814053,1.93533720,2.63163473,0.50995793
2.63793050,0.48263615,1.93691557,2.63793050,0.50366215
2.64422628,0.47711265,1.93847473,2.64422628,0.49736637
2.65052206,0.47157024,1.94001469,2.65052206,0.49107060
2.65681784,0.46600914,1.94153543,2.65681784,0.48477482
2.66311361,0.46042956,1.94303692,2.66311361,0.47847904
2.66940939,0.45483173,1.94451917,2.66940939,0.47218326
2.67570517,0.44921588,1.94598214,2.67570517,0.46588749
2.68200094,0.44358222,1.94742583,2.68200094,0.45959171
2.68829672,0.43793098,1.94885022,2.68829672,0.45329593
2.69459250,0.43226238,1.95025530,2.69459250,0.44700016
2.70088827,0.42657665,1.95164106,2.70088827,0.44070438
2.70718405,0.42087401,1.95300748,2.70718405,0.43440860
2.71347983,0.41515469,1.95435454,2.71347983,0.42811283
2.71977560,0.40941891,1.95568224,2.71977560,0.42181705
2.72607138,0.40366690,1.95699056,2.72607138,0.41552127
2.73236716,0.39789889,1.95827949,2.73236716,0.40922550
2.73866293,0.39211512,1.95954901,2.73866293,0.40292972
2.74495871,0.38631580,1.96079911,2.74495871,0.39663394
2.75125449,0.38050117,1.96202979,2.75125449,0.39033817
2.75755027,0.37467145,1.96324102,2.75755027,0.38404239
2.76384604,0.36882689,1.96443280,2.76384604,0.37774661
2.77014182,0.36296770,1.96560511,2.77014182,0.37145083
2.77643760,0.35709413,1.96675794,2.77643760,0.36515506
2.78273337,0.35120641,1.96789129,2.78273337,0.35885928
2.78902915,0.34530476,1.96900513,2.78902915,0.35256350
2.79532493,0.33938943,1.97009947,2.79532493,0.34626773
2.80162070,0.33346065,1.97117428,2.80162070,0.33997195
2.80791648,0.32751865,1.97222956,2.80791648,0.33367617
2.81421226,0.32156366,1.97326529,2.81421226,0.32738040
2.82050803,0.31559594,1.97428148,2.82050803,0.32108462
2.82680381,0.30961570,1.97527810,2.82680381,0.31478884
2.83309959,0.30362319,1.97625514,2.83309959,0.30849307
2.83939536,0.29761864,1.97721260,2.83939536,0.30219729
2.84569114,0.29160230,1.97815047,2.84569114,0.29590151
2.85198692,0.28557440,1.97906874,2.85198692,0.28960574
2.85828269,0.27953518,1.97996740,2.85828269,0.28330996
2.86457847,0.27348488,1.98084644,2.86457847,0.27701418
2.87087425,0.26742375,1.98170584,2.87087425,0.27071841
2.87717003,0.26135201,1.98254562,2.87717003,0.26442263
2.88346580,0.25526991,1.98336574,2.88346580,0.25812685
2.88976158,0.24917769,1.98416621,2.88976158,0.25183107
2.89605736,0.24307560,1.98494703,2.89605736,0.24553530
2.90235313,0.23696388,1.98570817,2.90235313,0.23923952
2.90864891,0.23084276,1.98644963,2.90864891,0.23294374
2.91494469,0.22471249,1.98717141,2.91494469,0.22664797
2.92124046,0.21857331,1.98787350,2.92124046,0.22035219
2.92753624,0.21242547,1.98855589,2.92753624,0.21405641
2.93383202,0.20626921,1.98921858,2.93383202,0.20776064
2.94012779,0.20010478,1.98986155,2.94012779,0.20146486
2.94642357,0.19393241,1.99048481,2.94642357,0.19516908
2.95271935,0.18775236,1.99108834,2.95271935,0.18887331
2.95901512,0.18156486,1.99167215,2.95901512,0.18257753
2.96531090,0.17537017,1.99223621,2.96531090,0.17628175
2.97160668,0.16916853,1.99278054,2.97160668,0.16998598
2.97790246,0.16296018,1.99330512,2.97790246,0.16369020
2.98419823,0.15674537,1.99380994,2.98419823,0.15739442
2.99049401,0.15052435,1.99429501,2.99049401,0.15109864
2.99678979,0.14429736,1.99476032,2.99678979,0.14480287
3.00308556,0.13806466,1.99520586,3.00308556,0.13850709
3.00938134,0.13182648,1.99563163,3.00938134,0.13221131
3.01567712,0.12558307,1.99603763,3.01567712,0.12591554
3.02197289,0.11933469,1.99642384,3.02197289,0.11961976
3.02826867,0.11308158,1.99679028,3.02826867,0.11332398
3.03456445,0.10682399,1.99713692,3.03456445,0.10702821
3.04086022,0.10056216,1.99746378,3.04086022,0.10073243
3.04715600,0.09429635,1.99777084,3.04715600,0.09443665
3.05345178,0.08802680,1.99805811,3.05345178,0.08814088
3.05974755,0.08175375,1.99832558,3.05974755,0.08184510
3.06604333,0.07547747,1.99857324,3.06604333,0.07554932
3.07233911,0.06919820,1.99880111,3.07233911,0.06925355
3.07863488,0.06291619,1.99900916,3.07863488,0.06295777
3.08493066,0.05663168,1.99919741,3.08493066,0.05666199
3.09122644,0.05034492,1.99936584,3.09122644,0.05036621
3.09752222,0.04405617,1.99951447,3.09752222,0.04407044
3.10381799,0.03776568,1.99964328,3.10381799,0.03777466
3.11011377,0.03147369,1.99975228,3.11011377,0.03147888
3.11640955,0.02518045,1.99984145,3.11640955,0.02518311
3.12270532,0.01888621,1.99991082,3.12270532,0.01888733
3.12900110,0.01259122,1.99996036,3.12900110,0.01259155
3.13529688,0.00629574,1.99999009,3.13529688,0.00629578
3.14159265,0.00000000,2.00000000,3.14159265,0.00000000
