t_fs,Re_E,Im_E,intensity
-832.03125,16.62528566701052,-9.210974331239294,361.2421716404546
-831.0546875,16.64579611539929,-8.988134039953492,357.86908183561275
-830.078125,16.663143759186354,-8.765778275706145,354.499228718153
-829.1015625,16.677366476744396,-8.543920434101514,351.13312898389523
-828.125,16.688497930576837,-8.322569935664857,347.7711335128999
-827.1484375,16.696566984589367,-8.101732859510875,344.4134243977579
-826.171875,16.701597233990192,-7.881412677213055,341.06001595496343
-825.1953125,16.703606656693516,-7.661611077096444,337.7107596382228
-824.21875,16.702607389049,-7.442328849929576,334.3653523032083
-823.2421875,16.69860563775442,-7.223566797963343,331.02334752988196
-822.265625,16.691601744538918,-7.005326638963277,327.68417011686313
-821.2890625,16.681590407025478,-6.787611889563713,324.34713367111124
-820.3125,16.668561039355573,-6.570428709902513,321.0114605546337
-819.3359375,16.65249825011976,-6.353786679280363,317.6763031360422
-818.359375,16.633382423967664,-6.137699470684267,314.34076565439426
-817.3828125,16.611190398375253,-5.922185406883263,311.00392644457537
-816.40625,16.585896216965335,-5.707267896473972,307.6648601620675
-815.4296875,16.557471926913788,-5.492975749309132,304.32265919303643
-814.453125,16.52588838742545,-5.279343363002912,300.97645333812625
-813.4765625,16.491116068464873,-5.066410772808919,297.6254273024145
-812.5,16.45312582778525,-4.8542235707803965,294.268835980054
-811.5234375,16.411889650170387,-4.6428327135004706,290.90601749492004
-810.546875,16.367381324623278,-4.432294237843346,287.5364036364462
-809.5703125,16.31957703749191,-4.2226688954970335,284.1595272836314
-808.59375,16.268455872896126,-4.014021714111719,280.7750268097288
-807.6171875,16.214000222808547,-3.806421501784823,277.3826478744855
-806.640625,16.156196107759644,-3.5999403217903843,273.9822429928401
-805.6640625,16.095033401392264,-3.3946529630828586,270.5737689316998
-804.6875,16.03050595265819,-3.190636420441731,267.1572818656589
-803.7109375,15.962611612201181,-2.987969390621237,263.7329305612695
-802.734375,15.891352182042574,-2.7867317968007206,260.3009482810095
-801.7578125,15.816733305983027,-2.5870043641013885,256.8616440524723
-800.78125,15.738764306410797,-2.3888682661866403,253.41539348594412
-799.8046875,15.657457971191764,-2.1924048459380856,249.96262912812935
-798.828125,15.572830309035563,-1.9976954018244832,246.50383075248737
-797.8515625,15.484900304608459,-1.8048210392807005,243.03951642749342
-796.875,15.393689696786058,-1.6138625979103325,239.5702349658711
-795.8984375,15.29922278513003,-1.4249006575619352,236.09655971296235
-794.921875,15.201526267336714,-1.2380156038362933,232.6190834918702
-793.9453125,15.100629126279278,-1.0532877245479662,229.13841504011754
-792.96875,14.996562592072834,-0.8707973226237686,225.65517755504703
-791.9921875,14.88936018617671,-0.6906248432131701,222.17000942776735
