# Figure 4: ESM Fiber Dispersion Curves
# Melchert & Demircan, Computer Physics Communications 273 (2022) 108257
# Pade [8/8] approximant for refractive index of ESM PCF
# Columns: w (angular frequency, rad/fs), beta1 (group delay, fs/um), beta2 (GVD, fs^2/um)
w_rad_fs,beta1_fs_um,beta2_fs2_um
3.41783567e+00,2.02817765e+00,-1.69269610e+00
3.42484970e+00,2.01629147e+00,-1.69656293e+00
3.43186373e+00,2.00437816e+00,-1.70043229e+00
3.43887776e+00,1.99243771e+00,-1.70430417e+00
3.44589178e+00,1.98047008e+00,-1.70817858e+00
3.45290581e+00,1.96847528e+00,-1.71205552e+00
3.45991984e+00,1.95645327e+00,-1.71593501e+00
3.46693387e+00,1.94440404e+00,-1.71981706e+00
3.47394790e+00,1.93232757e+00,-1.72370166e+00
3.48096192e+00,1.92022385e+00,-1.72758882e+00
3.48797595e+00,1.90809285e+00,-1.73147856e+00
3.49498998e+00,1.89593456e+00,-1.73537087e+00
3.50200401e+00,1.88374897e+00,-1.73926577e+00
3.50901804e+00,1.87153604e+00,-1.74316326e+00
3.51603206e+00,1.85929577e+00,-1.74706334e+00
3.52304609e+00,1.84702813e+00,-1.75096603e+00
3.53006012e+00,1.83473311e+00,-1.75487133e+00
3.53707415e+00,1.82241069e+00,-1.75877924e+00
3.54408818e+00,1.81006085e+00,-1.76268978e+00
3.55110220e+00,1.79768357e+00,-1.76660294e+00
3.55811623e+00,1.78527884e+00,-1.77051874e+00
3.56513026e+00,1.77284663e+00,-1.77443719e+00
3.57214429e+00,1.76038693e+00,-1.77835828e+00
3.57915832e+00,1.74789972e+00,-1.78228202e+00
3.58617234e+00,1.73538497e+00,-1.78620844e+00
3.59318637e+00,1.72284268e+00,-1.79013751e+00
3.60020040e+00,1.71027282e+00,-1.79406928e+00
3.60721443e+00,1.69767537e+00,-1.79800372e+00
3.61422846e+00,1.68505031e+00,-1.80194085e+00
3.62124248e+00,1.67239763e+00,-1.80588068e+00
3.62825651e+00,1.65971731e+00,-1.80982320e+00
3.63527054e+00,1.64700932e+00,-1.81376844e+00
3.64228457e+00,1.63427366e+00,-1.81771639e+00
3.64929860e+00,1.62151029e+00,-1.82166706e+00
3.65631263e+00,1.60871920e+00,-1.82562046e+00
3.66332665e+00,1.59590038e+00,-1.82957660e+00
3.67034068e+00,1.58305379e+00,-1.83353549e+00
3.67735471e+00,1.57017943e+00,-1.83749712e+00
3.68436874e+00,1.55727727e+00,-1.84146151e+00
3.69138277e+00,1.54434730e+00,-1.84542866e+00
3.69839679e+00,1.53138949e+00,-1.84939858e+00
3.70541082e+00,1.51840383e+00,-1.85337127e+00
3.71242485e+00,1.50539029e+00,-1.85734675e+00
3.71943888e+00,1.49234886e+00,-1.86132502e+00
3.72645291e+00,1.47927951e+00,-1.86530609e+00
3.73346693e+00,1.46618223e+00,-1.86928995e+00
3.74048096e+00,1.45305700e+00,-1.87327664e+00
3.74749499e+00,1.43990379e+00,-1.87726613e+00
3.75450902e+00,1.42672260e+00,-1.88125845e+00
3.76152305e+00,1.41351339e+00,-1.88525360e+00
3.76853707e+00,1.40027615e+00,-1.88925159e+00
3.77555110e+00,1.38701086e+00,-1.89325243e+00
3.78256513e+00,1.37371749e+00,-1.89725611e+00
3.78957916e+00,1.36039603e+00,-1.90126265e+00
3.79659319e+00,1.34704646e+00,-1.90527206e+00
3.80360721e+00,1.33366876e+00,-1.90928434e+00
