w_rad_fs,spectrum_dB
0.8246680715673207,-299.88083478347187
0.8309512568745003,-299.9741817230819
0.8372344421816799,-299.9854743555138
0.8435176274888595,-299.9741883789376
0.8498008127960391,-299.99099532081283
0.8560839981032187,-299.9868917489158
0.8623671834103983,-299.99566059805215
0.8686503687175778,-299.99770673430146
0.8749335540247575,-299.99769841567564
0.881216739331937,-299.9990171986225
0.8874999246391166,-299.99955625557527
0.8937831099462963,-299.9996028637452
0.9000662952534758,-299.99983653890683
0.9063494805606552,-299.9994770177749
0.9126326658678349,-299.9995374445732
0.9189158511750144,-299.9998991000347
0.925199036482194,-299.99996799024495
0.9314822217893736,-299.99995816409853
0.9377654070965532,-299.99997579684924
0.9440485924037328,-299.99812494189143
0.9503317777109124,-299.99989935808946
0.956614963018092,-299.99997171888657
0.9628981483252715,-299.99995527348466
0.9691813336324512,-299.99971290650046
0.9754645189396307,-299.9994039196293
0.9817477042468103,-299.9999700351823
0.98803088955399,-299.99971959317156
0.9943140748611695,-299.99955853062136
1.000597260168349,-299.99953971144623
1.0068804454755287,-299.9995627878127
1.0131636307827083,-299.99833683802063
1.019446816089888,-299.9993380990232
1.0257300013970674,-299.99960161671373
1.032013186704247,-299.99963921351525
1.0382963720114267,-299.9996142690808
1.0445795573186063,-299.9998524105823
1.050862742625786,-299.99994366048054
1.0571459279329654,-299.99993632126285
1.063429113240145,-299.99969386660433
1.0697122985473246,-299.99992781935936
1.0759954838545043,-299.9996747624534
1.082278669161684,-299.9997448552021
1.0885618544688633,-299.99992644095056
1.094845039776043,-299.99835336161885
1.1011282250832226,-299.9996111311862
1.107411410390402,-299.9998563935627
1.1136945956975817,-299.9990887964702
1.119977781004761,-299.9996185999425
1.1262609663119407,-299.99901909651544
1.1325441516191204,-299.99954324678396
1.1388273369263,-299.9998369900782
1.1451105222334796,-299.9997149072996
1.151393707540659,-299.99984824162345
1.1576768928478387,-299.9998749139586
1.1639600781550183,-299.99989404746754
1.170243263462198,-299.9992307557207
1.1765264487693776,-299.99997626553073
1.182809634076557,-299.99987967645706
1.1890928193837367,-299.99864668017204
1.1953760046909163,-299.9991368711602
1.201659189998096,-299.99800599883775
1.2079423753052754,-299.9980217662769
1.214225560612455,-299.9993368213075
1.2205087459196347,-299.998331919027
1.2267919312268143,-299.9984968466032
1.233075116533994,-299.9998183375543
1.2393583018411733,-299.996042486647
1.245641487148353,-299.9992780566094
1.2519246724555326,-299.99860264209593
1.2582078577627123,-299.9996417572459
1.264491043069892,-299.9998391634652
1.2707742283770713,-299.99930535993263
1.277057413684251,-299.9993995882674
1.2833405989914306,-299.99916678133343
1.2896237842986102,-299.99996448297776
1.2959069696057897,-299.9970007990885
1.3021901549129693,-299.9997369895451
1.3084733402201487,-299.9999245824273
1.3147565255273284,-299.9995748292485
1.321039710834508,-299.9993811072578
1.3273228961416876,-299.9998072937966
1.333606081448867,-299.9990276395273
1.3398892667560467,-299.99946985712137
1.3461724520632263,-299.99899100547447
1.352455637370406,-299.9990263573775
1.3587388226775856,-299.99932117769316
1.365022007984765,-299.9998813463525
1.3713051932919447,-299.99900006581095
1.3775883785991243,-299.9997070419127
1.383871563906304,-299.99968295239006
1.3901547492134834,-299.9998730058196
1.396437934520663,-299.9995864925127
1.4027211198278426,-299.9985500863975
1.4090043051350223,-299.9999586791132
1.415287490442202,-299.99835278543594
1.4215706757493813,-299.9990267164075
1.427853861056561,-299.9977492066852
1.4341370463637406,-299.998480595882
1.4404202316709203,-299.999767233047
1.4467034169781,-299.99959464660384
1.4529866022852793,-299.9999770845319
1.459269787592459,-299.99855622935996
1.4655529728996386,-299.99951339924667
1.4718361582068182,-299.9999600390853
1.4781193435139977,-299.99961521042997
1.4844025288211773,-299.9992346528096
1.490685714128357,-299.999416538786
1.4969688994355366,-299.99916228258473
1.5032520847427162,-299.99690146525245
1.5095352700498956,-299.99950584590806
1.515818455357075,-299.9996453941362
1.5221016406642547,-299.99901721379365
1.5283848259714343,-299.9997823061521
