time_ms,I_total_with_RE_MA,I_r_MA,I_th_with_RE_MA,I_total_baseline_MA
4.66533066e+00,1.30601616e+01,1.49427901e-01,1.29107337e+01,1.29236573e+01
4.68937876e+00,1.30543122e+01,1.51235475e-01,1.29030767e+01,1.29159927e+01
4.71342685e+00,1.30484893e+01,1.53064914e-01,1.28954243e+01,1.29083327e+01
4.73747495e+00,1.30426930e+01,1.54916483e-01,1.28877765e+01,1.29006772e+01
4.76152305e+00,1.30369236e+01,1.56790451e-01,1.28801332e+01,1.28930262e+01
4.78557114e+00,1.30311815e+01,1.58687086e-01,1.28724944e+01,1.28853798e+01
4.80961924e+00,1.30254668e+01,1.60606664e-01,1.28648601e+01,1.28777379e+01
4.83366733e+00,1.30197799e+01,1.62549463e-01,1.28572304e+01,1.28701005e+01
4.85771543e+00,1.30141210e+01,1.64515763e-01,1.28496052e+01,1.28624677e+01
4.88176353e+00,1.30084904e+01,1.66505849e-01,1.28419845e+01,1.28548394e+01
4.90581162e+00,1.30028884e+01,1.68520007e-01,1.28343684e+01,1.28472156e+01
4.92985972e+00,1.29973153e+01,1.70558530e-01,1.28267567e+01,1.28395963e+01
4.95390782e+00,1.29917713e+01,1.72621713e-01,1.28191496e+01,1.28319816e+01
4.97795591e+00,1.29862569e+01,1.74709852e-01,1.28115470e+01,1.28243714e+01
5.00200401e+00,1.29807722e+01,1.76823251e-01,1.28039489e+01,1.28167657e+01
5.02605210e+00,1.29753175e+01,1.78962217e-01,1.27963553e+01,1.28091645e+01
5.05010020e+00,1.29698933e+01,1.81127058e-01,1.27887662e+01,1.28015678e+01
5.07414830e+00,1.29644997e+01,1.83318085e-01,1.27811816e+01,1.27939756e+01
5.09819639e+00,1.29591371e+01,1.85535616e-01,1.27736015e+01,1.27863879e+01
5.12224449e+00,1.29538059e+01,1.87779972e-01,1.27660259e+01,1.27788047e+01
5.14629259e+00,1.29485063e+01,1.90051477e-01,1.27584548e+01,1.27712260e+01
5.17034068e+00,1.29432387e+01,1.92350460e-01,1.27508882e+01,1.27636518e+01
5.19438878e+00,1.29380033e+01,1.94677252e-01,1.27433261e+01,1.27560821e+01
5.21843687e+00,1.29328006e+01,1.97032190e-01,1.27357684e+01,1.27485169e+01
5.24248497e+00,1.29276309e+01,1.99415615e-01,1.27282153e+01,1.27409562e+01
5.26653307e+00,1.29224944e+01,2.01827872e-01,1.27206666e+01,1.27334000e+01
5.29058116e+00,1.29173917e+01,2.04269308e-01,1.27131224e+01,1.27258482e+01
5.31462926e+00,1.29123229e+01,2.06740278e-01,1.27055826e+01,1.27183009e+01
5.33867735e+00,1.29072885e+01,2.09241137e-01,1.26980474e+01,1.27107581e+01
5.36272545e+00,1.29022888e+01,2.11772249e-01,1.26905166e+01,1.27032198e+01
5.38677355e+00,1.28973242e+01,2.14333978e-01,1.26829903e+01,1.26956859e+01
5.41082164e+00,1.28923951e+01,2.16926696e-01,1.26754684e+01,1.26881565e+01
5.43486974e+00,1.28875018e+01,2.19550776e-01,1.26679510e+01,1.26806316e+01
5.45891784e+00,1.28826446e+01,2.22206599e-01,1.26604380e+01,1.26731112e+01
5.48296593e+00,1.28778241e+01,2.24894549e-01,1.26529296e+01,1.26655952e+01
5.50701403e+00,1.28730405e+01,2.27615014e-01,1.26454255e+01,1.26580836e+01
5.53106212e+00,1.28682943e+01,2.30368389e-01,1.26379259e+01,1.26505765e+01
5.55511022e+00,1.28635859e+01,2.33155071e-01,1.26304308e+01,1.26430739e+01
5.57915832e+00,1.28589156e+01,2.35975462e-01,1.26229401e+01,1.26355757e+01
5.60320641e+00,1.28542838e+01,2.38829970e-01,1.26154539e+01,1.26280819e+01
5.62725451e+00,1.28496911e+01,2.41719008e-01,1.26079721e+01,1.26205926e+01
5.65130261e+00,1.28451377e+01,2.44642993e-01,1.26004947e+01,1.26131078e+01
5.67535070e+00,1.28406241e+01,2.47602349e-01,1.25930217e+01,1.26056274e+01
5.69939880e+00,1.28361507e+01,2.50597503e-01,1.25855532e+01,1.25981514e+01
5.72344689e+00,1.28317181e+01,2.53628888e-01,1.25780892e+01,1.25906798e+01
5.74749499e+00,1.28273265e+01,2.56696942e-01,1.25706295e+01,1.25832127e+01
5.77154309e+00,1.28229764e+01,2.59802109e-01,1.25631743e+01,1.25757500e+01
5.79559118e+00,1.28186683e+01,2.62944839e-01,1.25557235e+01,1.25682918e+01
5.81963928e+00,1.28144027e+01,2.66125584e-01,1.25482771e+01,1.25608379e+01
5.84368737e+00,1.28101799e+01,2.69344806e-01,1.25408351e+01,1.25533885e+01
5.86773547e+00,1.28060005e+01,2.72602969e-01,1.25333976e+01,1.25459435e+01
5.89178357e+00,1.28018650e+01,2.75900544e-01,1.25259644e+01,1.25385029e+01
