psi_N,eta_over_eta_axis
1.29859719e+00,3.00000000e+00
1.30260521e+00,3.00000000e+00
1.30661323e+00,3.00000000e+00
1.31062124e+00,3.00000000e+00
1.31462926e+00,3.00000000e+00
1.31863727e+00,3.00000000e+00
1.32264529e+00,3.00000000e+00
1.32665331e+00,3.00000000e+00
1.33066132e+00,3.00000000e+00
1.33466934e+00,3.00000000e+00
1.33867735e+00,3.00000000e+00
1.34268537e+00,3.00000000e+00
1.34669339e+00,3.00000000e+00
1.35070140e+00,3.00000000e+00
1.35470942e+00,3.00000000e+00
1.35871743e+00,3.00000000e+00
1.36272545e+00,3.00000000e+00
1.36673347e+00,3.00000000e+00
1.37074148e+00,3.00000000e+00
1.37474950e+00,3.00000000e+00
1.37875752e+00,3.00000000e+00
1.38276553e+00,3.00000000e+00
1.38677355e+00,3.00000000e+00
1.39078156e+00,3.00000000e+00
1.39478958e+00,3.00000000e+00
1.39879760e+00,3.00000000e+00
1.40280561e+00,3.00000000e+00
1.40681363e+00,3.00000000e+00
1.41082164e+00,3.00000000e+00
1.41482966e+00,3.00000000e+00
1.41883768e+00,3.00000000e+00
1.42284569e+00,3.00000000e+00
1.42685371e+00,3.00000000e+00
1.43086172e+00,3.00000000e+00
1.43486974e+00,3.00000000e+00
1.43887776e+00,3.00000000e+00
1.44288577e+00,3.00000000e+00
1.44689379e+00,3.00000000e+00
1.45090180e+00,3.00000000e+00
1.45490982e+00,3.00000000e+00
1.45891784e+00,3.00000000e+00
1.46292585e+00,3.00000000e+00
1.46693387e+00,3.00000000e+00
1.47094188e+00,3.00000000e+00
1.47494990e+00,3.00000000e+00
1.47895792e+00,3.00000000e+00
1.48296593e+00,3.00000000e+00
1.48697395e+00,3.00000000e+00
1.49098196e+00,3.00000000e+00
1.49498998e+00,3.00000000e+00
1.49899800e+00,3.00000000e+00
1.50300601e+00,3.04543074e+00
1.50701403e+00,3.10707705e+00
1.51102204e+00,3.16997122e+00
1.51503006e+00,3.23413851e+00
1.51903808e+00,3.29960469e+00
1.52304609e+00,3.36639605e+00
1.52705411e+00,3.43453941e+00
1.53106212e+00,3.50406215e+00
1.53507014e+00,3.57499218e+00
1.53907816e+00,3.64735800e+00
1.54308617e+00,3.72118866e+00
1.54709419e+00,3.79651382e+00
1.55110220e+00,3.87336373e+00
1.55511022e+00,3.95176925e+00
1.55911824e+00,4.03176188e+00
1.56312625e+00,4.11337373e+00
1.56713427e+00,4.19663759e+00
1.57114228e+00,4.28158690e+00
1.57515030e+00,4.36825577e+00
1.57915832e+00,4.45667901e+00
1.58316633e+00,4.54689213e+00
1.58717435e+00,4.63893137e+00
1.59118236e+00,4.73283369e+00
1.59519038e+00,4.82863680e+00
1.59919840e+00,4.92637918e+00
1.60320641e+00,5.02610009e+00
1.60721443e+00,5.12783956e+00
1.61122244e+00,5.23163848e+00
1.61523046e+00,5.33753851e+00
1.61923848e+00,5.44558219e+00
1.62324649e+00,5.55581293e+00
1.62725451e+00,5.66827497e+00
1.63126253e+00,5.78301350e+00
1.63527054e+00,5.90007460e+00
1.63927856e+00,6.01950527e+00
