gamma_max,r_diss_over_l_zeta_0.05,r_diss_over_l_zeta_0.1,r_diss_over_l_zeta_0.3,r_diss_over_l_zeta_0.5
6.52200715e+04,2.04175571e+13,5.10438928e+12,5.67154364e+11,2.04175571e+11
6.83043182e+04,2.23943034e+13,5.59857586e+12,6.22063984e+11,2.23943034e+11
7.15344183e+04,2.45624304e+13,6.14060761e+12,6.82289734e+11,2.45624304e+11
7.49172694e+04,2.69404668e+13,6.73511671e+12,7.48346301e+11,2.69404668e+11
7.84600950e+04,2.95487352e+13,7.38718380e+12,8.20798200e+11,2.95487352e+11
8.21704602e+04,3.24095257e+13,8.10238143e+12,9.00264603e+11,3.24095257e+11
8.60562879e+04,3.55472865e+13,8.88682163e+12,9.87424626e+11,3.55472865e+11
9.01258759e+04,3.89888328e+13,9.74720820e+12,1.08302313e+12,3.89888328e+11
9.43879140e+04,4.27635758e+13,1.06908940e+13,1.18787711e+12,4.27635758e+11
9.88515031e+04,4.69037744e+13,1.17259436e+13,1.30288262e+12,4.69037744e+11
1.03526175e+05,5.14448105e+13,1.28612026e+13,1.42902251e+12,5.14448105e+11
1.08421911e+05,5.64254915e+13,1.41063729e+13,1.56737477e+12,5.64254915e+11
1.13549165e+05,6.18883822e+13,1.54720956e+13,1.71912173e+12,6.18883822e+11
1.18918887e+05,6.78801682e+13,1.69700420e+13,1.88556023e+12,6.78801682e+11
1.24542542e+05,7.44520549e+13,1.86130137e+13,2.06811264e+12,7.44520549e+11
1.30432139e+05,8.16602054e+13,2.04150514e+13,2.26833904e+12,8.16602054e+11
1.36600253e+05,8.95662203e+13,2.23915551e+13,2.48795056e+12,8.95662203e+11
1.43060057e+05,9.82376640e+13,2.45594160e+13,2.72882400e+12,9.82376640e+11
1.49825344e+05,1.07748642e+14,2.69371605e+13,2.99301784e+12,1.07748642e+12
1.56910561e+05,1.18180435e+14,2.95451088e+13,3.28278987e+12,1.18180435e+12
1.64330836e+05,1.29622193e+14,3.24055482e+13,3.60061647e+12,1.29622193e+12
1.72102014e+05,1.42171696e+14,3.55429240e+13,3.94921377e+12,1.42171696e+12
1.80240691e+05,1.55936191e+14,3.89840479e+13,4.33156087e+12,1.55936191e+12
1.88764244e+05,1.71033311e+14,4.27583277e+13,4.75092529e+12,1.71033311e+12
1.97690874e+05,1.87592073e+14,4.68980181e+13,5.21089090e+12,1.87592073e+12
2.07039644e+05,2.05753988e+14,5.14384969e+13,5.71538854e+12,2.05753988e+12
2.16830515e+05,2.25674267e+14,5.64185667e+13,6.26872963e+12,2.25674267e+12
2.27084395e+05,2.47523148e+14,6.18807869e+13,6.87564299e+12,2.47523148e+12
2.37823179e+05,2.71487350e+14,6.78718375e+13,7.54131528e+12,2.71487350e+12
2.49069799e+05,2.97771671e+14,7.44429177e+13,8.27143530e+12,2.97771671e+12
2.60848269e+05,3.26600735e+14,8.16501836e+13,9.07224263e+12,3.26600735e+12
2.73183742e+05,3.58220913e+14,8.95552282e+13,9.95058092e+12,3.58220913e+12
2.86102557e+05,3.92902431e+14,9.82256077e+13,1.09139564e+13,3.92902431e+12
2.99632301e+05,4.30941675e+14,1.07735419e+14,1.19706021e+13,4.30941675e+12
3.13801864e+05,4.72663726e+14,1.18165931e+14,1.31295479e+13,4.72663726e+12
3.28641503e+05,5.18425140e+14,1.29606285e+14,1.44006983e+13,5.18425140e+12
3.44182906e+05,5.68616991e+14,1.42154248e+14,1.57949164e+13,5.68616991e+12
3.60459260e+05,6.23668216e+14,1.55917054e+14,1.73241171e+13,6.23668216e+12
3.77505321e+05,6.84049282e+14,1.71012320e+14,1.90013689e+13,6.84049282e+12
3.95357486e+05,7.50276201e+14,1.87569050e+14,2.08410056e+13,7.50276201e+12
4.14053878e+05,8.22914945e+14,2.05728736e+14,2.28587485e+13,8.22914945e+12
4.33634419e+05,9.02586283e+14,2.25646571e+14,2.50718412e+13,9.02586283e+12
4.54140920e+05,9.89971081e+14,2.47492770e+14,2.74991967e+13,9.89971081e+12
4.75617171e+05,1.08581613e+15,2.71454032e+14,3.01615591e+13,1.08581613e+13
4.98109030e+05,1.19094051e+15,2.97735127e+14,3.30816807e+13,1.19094051e+13
5.21664525e+05,1.30624261e+15,3.26560652e+14,3.62845169e+13,1.30624261e+13
5.46333956e+05,1.43270780e+15,3.58176950e+14,3.97974389e+13,1.43270780e+13
5.72170001e+05,1.57141685e+15,3.92854212e+14,4.36504679e+13,1.57141685e+13
5.99227827e+05,1.72355515e+15,4.30888787e+14,4.78765319e+13,1.72355515e+13
6.27565214e+05,1.89042287e+15,4.72605718e+14,5.25117464e+13,1.89042287e+13
6.57242672e+05,2.07344606e+15,5.18361516e+14,5.75957240e+13,2.07344606e+13
6.88323572e+05,2.27418883e+15,5.68547207e+14,6.31719119e+13,2.27418883e+13
7.20874282e+05,2.49436671e+15,6.23591676e+14,6.92879640e+13,2.49436671e+13
7.54964310e+05,2.73586133e+15,6.83965331e+14,7.59961479e+13,2.73586133e+13
7.90666450e+05,3.00073649e+15,7.50184122e+14,8.33537914e+13,3.00073649e+13
8.28056939e+05,3.29125581e+15,8.22813952e+14,9.14237725e+13,3.29125581e+13
8.67215617e+05,3.60990205e+15,9.02475512e+14,1.00275057e+14,3.60990205e+13
9.08226104e+05,3.95939835e+15,9.89849586e+14,1.09983287e+14,3.95939835e+13
9.51175969e+05,4.34273148e+15,1.08568287e+15,1.20631430e+14,4.34273148e+13
9.96156927e+05,4.76317739e+15,1.19079435e+15,1.32310483e+14,4.76317739e+13
1.04326503e+06,5.22432920e+15,1.30608230e+15,1.45120255e+14,5.22432920e+13
1.09260086e+06,5.73012788e+15,1.43253197e+15,1.59170219e+14,5.73012788e+13
1.14426978e+06,6.28489597e+15,1.57122399e+15,1.74580444e+14,6.28489597e+13
1.19838211e+06,6.89337449e+15,1.72334362e+15,1.91482625e+14,6.89337449e+13
1.25505341e+06,7.56076347e+15,1.89019087e+15,2.10021208e+14,7.56076347e+13
1.31440468e+06,8.29276639e+15,2.07319160e+15,2.30354622e+14,8.29276639e+13
1.37656267e+06,9.09563890e+15,2.27390973e+15,2.52656636e+14,9.09563890e+13
1.44166009e+06,9.97624233e+15,2.49406058e+15,2.77117842e+14,9.97624233e+13
1.50983596e+06,1.09421023e+16,2.73552556e+15,3.03947285e+14,1.09421023e+14
1.58123586e+06,1.20014729e+16,3.00036822e+15,3.33374247e+14,1.20014729e+14
1.65601225e+06,1.31634076e+16,3.29085189e+15,3.65650210e+14,1.31634076e+14
1.73432480e+06,1.44378361e+16,3.60945902e+15,4.01051002e+14,1.44378361e+14
1.81634074e+06,1.58356497e+16,3.95891243e+15,4.39879158e+14,1.58356497e+14
1.90223520e+06,1.73687940e+16,4.34219851e+15,4.82466501e+14,1.73687940e+14
1.99219160e+06,1.90503713e+16,4.76259283e+15,5.29176981e+14,1.90503713e+14
2.08640201e+06,2.08947522e+16,5.22368804e+15,5.80409782e+14,2.08947522e+14
2.18506763e+06,2.29176986e+16,5.72942465e+15,6.36602738e+14,2.29176986e+14
2.28839912e+06,2.51364986e+16,6.28412465e+15,6.98236073e+14,2.51364986e+14
2.39661715e+06,2.75701140e+16,6.89252850e+15,7.65836500e+14,2.75701140e+14
2.50995278e+06,3.02393423e+16,7.55983557e+15,8.39981730e+14,3.02393423e+14
2.62864805e+06,3.31669946e+16,8.29174865e+15,9.21305406e+14,3.31669946e+14
2.75295639e+06,3.63780905e+16,9.09452264e+15,1.01050252e+15,3.63780905e+14
2.88314325e+06,3.99000720e+16,9.97501799e+15,1.10833533e+15,3.99000720e+14
3.01948663e+06,4.37630375e+16,1.09407594e+16,1.21563993e+15,4.37630375e+14
3.16227766e+06,4.80000000e+16,1.20000000e+16,1.33333333e+15,4.80000000e+14
