r_over_l_AGN,gamma_AGN,r_over_l_GRB,gamma_GRB,r_over_l_Pulsar,gamma_Pulsar
3.07548867e+01,1.90560207e+00,3.92759371e+02,2.06745639e+01,1.40356577e+03,6.80986384e+01
3.15279779e+01,1.92143728e+00,4.10132867e+02,2.09750191e+01,1.47924055e+03,6.93011498e+01
3.23205025e+01,1.93740407e+00,4.28274871e+02,2.12798406e+01,1.55899541e+03,7.05248956e+01
3.31329489e+01,1.95350354e+00,4.47219376e+02,2.15890920e+01,1.64305035e+03,7.17702507e+01
3.39658179e+01,1.96973680e+00,4.67001881e+02,2.19028376e+01,1.73163720e+03,7.30375968e+01
3.48196229e+01,1.98610495e+00,4.87659454e+02,2.22211427e+01,1.82500030e+03,7.43273221e+01
3.56948901e+01,2.00260912e+00,5.09230804e+02,2.25440737e+01,1.92339718e+03,7.56398220e+01
3.65921592e+01,2.01925043e+00,5.31756351e+02,2.28716976e+01,2.02709924e+03,7.69754984e+01
3.75119830e+01,2.03603003e+00,5.55278303e+02,2.32040828e+01,2.13639250e+03,7.83347607e+01
3.84549286e+01,2.05294907e+00,5.79840735e+02,2.35412985e+01,2.25157843e+03,7.97180253e+01
3.94215772e+01,2.07000870e+00,6.05489674e+02,2.38834147e+01,2.37297473e+03,8.11257162e+01
4.04125246e+01,2.08721010e+00,6.32273179e+02,2.42305028e+01,2.50091625e+03,8.25582646e+01
4.14283817e+01,2.10455443e+00,6.60241438e+02,2.45826350e+01,2.63575587e+03,8.40161095e+01
4.24697745e+01,2.12204289e+00,6.89446858e+02,2.49398845e+01,2.77786552e+03,8.54996976e+01
4.35373450e+01,2.13967668e+00,7.19944163e+02,2.53023259e+01,2.92763717e+03,8.70094834e+01
4.46317512e+01,2.15745700e+00,7.51790500e+02,2.56700344e+01,3.08548391e+03,8.85459296e+01
4.57536678e+01,2.17538507e+00,7.85045543e+02,2.60430867e+01,3.25184114e+03,9.01095069e+01
4.69037861e+01,2.19346212e+00,8.19771604e+02,2.64215604e+01,3.42716770e+03,9.17006944e+01
4.80828152e+01,2.21168939e+00,8.56033753e+02,2.68055344e+01,3.61194718e+03,9.33199798e+01
4.92914817e+01,2.23006813e+00,8.93899939e+02,2.71950884e+01,3.80668924e+03,9.49678591e+01
5.05305308e+01,2.24859958e+00,9.33441115e+02,2.75903037e+01,4.01193104e+03,9.66448373e+01
5.18007260e+01,2.26728504e+00,9.74731373e+02,2.79912625e+01,4.22823867e+03,9.83514282e+01
5.31028504e+01,2.28612576e+00,1.01784808e+03,2.83980483e+01,4.45620876e+03,1.00088155e+02
