# Figure 5: Fourth-order magnetization cumulant U_4 vs K
# Columns: K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
0.2223718593,0.49457897,0.50944076,0.51509055,0.54992801,0.58231912
0.2223793970,0.49471347,0.50969392,0.51546317,0.55052880,0.58305056
0.2223869347,0.49484793,0.50994686,0.51583527,0.55112725,0.58377634
0.2223944724,0.49498234,0.51019956,0.51620684,0.55172334,0.58449647
0.2224020101,0.49511670,0.51045202,0.51657788,0.55231708,0.58521097
0.2224095477,0.49525102,0.51070425,0.51694840,0.55290846,0.58591984
0.2224170854,0.49538529,0.51095625,0.51731838,0.55349748,0.58662312
0.2224246231,0.49551951,0.51120801,0.51768783,0.55408413,0.58732082
0.2224321608,0.49565369,0.51145954,0.51805674,0.55466842,0.58801295
0.2224396985,0.49578782,0.51171083,0.51842512,0.55525034,0.58869955
0.2224472362,0.49592191,0.51196188,0.51879297,0.55582989,0.58938061
0.2224547739,0.49605595,0.51221270,0.51916027,0.55640706,0.59005617
0.2224623116,0.49618994,0.51246328,0.51952704,0.55698186,0.59072624
0.2224698492,0.49632389,0.51271362,0.51989327,0.55755428,0.59139085
0.2224773869,0.49645778,0.51296373,0.52025895,0.55812432,0.59205001
0.2224849246,0.49659164,0.51321359,0.52062409,0.55869199,0.59270375
0.2224924623,0.49672544,0.51346322,0.52098869,0.55925726,0.59335208
0.2225000000,0.49685920,0.51371261,0.52135274,0.55982016,0.59399503
